"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","483","Creating new user record","chromium","2026-04-05","passed","2026-04-05","","api-tests\reqresUserDetails.spec.js","",""
"","10000","Login and retrieve book details from Book Store","chromium","2026-04-05","passed","2026-04-05","","loginUserProductValidation.spec.js","",""
"","215","Updating the user record","chromium","2026-04-05","passed","2026-04-05","","api-tests\reqresUserDetails.spec.js","",""
"","488","Validating newly created user details","chromium","2026-04-05","passed","2026-04-05","","api-tests\reqresUserDetails.spec.js","",""
